Username,User ID,Price,Strength,Intel,Combined
-FAM-_MelaninBrujaMisses_-FAM-,1555557231,1.18561E+13,23923240,14166948,38090188
-SIN-SEXY-MARANX-,448126708,1.17579E+13,25123666,11334178,36457844
Blue-Mist,12040266,1.17368E+13,24006356,9913442,33919798
VladimirPutin,1823845503,1.18561E+13,28508612,4665054,33173666
Tori-_,1253078350,1.17579E+13,15985390,15985390,31970780
DemonsGrace-iCyRain,1286624765,1.17368E+13,15363248,15883606,31246854
AlphaDomination,1991705418,1.19162E+13,24533246,6436590,30969836
AnshGupta,45263930,1.19689E+13,22941374,7992620,30933994
-Pain-,448240658,1.18561E+13,15813492,14903436,30716928
PinkSkies-,448056454,1.19767E+13,23186156,7437864,30624020
Saym,816887833,1.17368E+13,10892728,19669838,30562566
multistriker300,1622545317,1.19162E+13,25190256,5131264,30321520
pandaxoxo,1991370926,1.17963E+13,17026054,13267690,30293744
-SaSsyBoo-,1589006533,1.17368E+13,22570134,7150848,29720982
Iuckiest_Iady,2125582344,1.17963E+13,14791678,14791678,29583356
_-SuGaRsXtY9-_,280415709,1.17368E+13,20542932,8738330,29281262
Dark_Ninetales,2024969249,1.17757E+13,19683140,9275980,28959120
MCziRin,1152828622,1.19377E+13,21863596,7016272,28879868
DespicabIe,682977378,1.18061E+13,14378714,14378714,28757428
Tyr,1991272501,1.17963E+13,14389036,14354422,28743458
Rivulose,180212664,1.17961E+13,14323266,14306660,28629926
KapG,1219928086,1.17368E+13,14924874,13357622,28282496
iSleepy,1790218735,1.19162E+13,24268610,3971226,28239836
Firestorm,1119312879,1.17368E+13,14118838,14118838,28237676
gagan1993,1488143937,1.17963E+13,23480638,4673306,28153944
CoIonSink,481332330,1.1801E+13,21118184,6483264,27601448
xLustx3,548839824,1.18061E+13,14646314,12841340,27487654
_-_CaptainSpaulding_-_,1655790428,1.18894E+13,21662372,5801976,27464348
Psycho_Boy,1857925827,1.17244E+13,18394530,9065114,27459644
----MooJoo----,246865226,1.19592E+13,16988156,10345752,27333908
sjy,1286647883,1.19724E+13,18516782,8578078,27094860
_-Meg-_,2091943660,1.17368E+13,13781960,13284692,27066652
LetMeLickYourLollipop,1420915027,1.1959E+13,22488546,4095464,26584010
KinderJoy,817257551,1.18659E+13,22260142,4226542,26486684
Fun,548819942,1.17407E+13,10522978,15955094,26478072
isnake_luv2Slytherinyourdorm,514859731,1.17368E+13,13261100,13203968,26465068
_CYNTHIA_,11664064,1.19807E+13,12697798,13701486,26399284
lllllllllIIIIIIIIIIIIIllllllll,1622586259,1.18561E+13,3703238,22630830,26334068
vms,112646585,1.18003E+13,22384368,3831364,26215732
TheGreatCh3wy,1219948786,1.18775E+13,19121694,7008288,26129982
Mercy,1588720639,1.17368E+13,22363654,3659518,26023172
-Alien-DominusTheReversal-,1790384402,1.1783E+13,14938310,11012742,25951052
