Username,User ID,Price,Strength,Intel,Combined
Obscene,1689370710,1.19162E+13,16109820,9835356,25945176
Rainer_the_Wanderer,783787881,1.17368E+13,21208926,4530190,25739116
Nara_Myra,649289189,1.17368E+13,13865508,11833836,25699344
-Taffy32-,1421315423,1.17963E+13,12639018,12639018,25278036
PrincessKnowsBestUnlikeTheRest,1454713810,1.19767E+13,19285902,5482702,24768604
Vivu-,145968782,1.17962E+13,15498416,8709798,24208214
Rico_Mama_Firefly,145973943,1.19767E+13,15044848,9111258,24156106
SVG-TheFaLLen-StarLord-,1521915605,1.19162E+13,14032232,9906396,23938628
kidraulh-,1186833656,1.19766E+13,13036172,10778742,23814914
ScarLucifer,716200569,1.17368E+13,13693110,10112304,23805414
-Scumbag-,313609063,1.19029E+13,11867256,11867256,23734512
Tiixee,1521624059,1.18561E+13,11236334,12491590,23727924
Jacqs_Umbrella_Academy,481488715,1.19341E+13,8523736,15086144,23609880
dawane,45293642,1.18432E+13,11748850,11748850,23497700
-AD_Khaleesi-,917985492,1.17368E+13,11747248,11747248,23494496
Yxzee,1957714522,1.17963E+13,11937938,11272824,23210762
_Nyx_,1186136403,1.18561E+13,19666378,3513642,23180020
Liar,2125467538,1.17963E+13,11251374,11460592,22711966
Glyn,615701287,1.19516E+13,12203416,10474048,22677464
Rorobearz,1890609694,1.19767E+13,15380380,7297046,22677426
Lassi,1420888444,1.18753E+13,15234054,7337290,22571344
vause,1790756522,1.17895E+13,10363166,11720818,22083984
Ryan-The-Tiger,1756814775,1.17963E+13,10986512,10986512,21973024
NurseBecky,984778409,1.1853E+13,17360278,4473150,21833428
noctem,1991400735,1.18464E+13,18591260,3042220,21633480
xBabyYodaBandz,1756376103,1.18061E+13,8930484,12696620,21627104
Hennessee,313649855,1.18568E+13,14051430,7558502,21609932
-x-EvilSnowWhite-x-,1555486289,1.17963E+13,7429392,13987216,21416608
Cowboy131,951089229,1.18775E+13,18112728,3300792,21413520
Clockwork_Bride,1085400760,1.17963E+13,17104104,4250210,21354314
-KiIIingCactus-,1857466597,1.17963E+13,18277550,2990878,21268428
-Katistrophic-,45590568,1.17368E+13,15304436,5763392,21067828
QUEEN-H,1655983987,1.17963E+13,15259464,5768932,21028396
KikiMoreau,2058546093,1.17963E+13,14539040,6285242,20824282
Halsey,1723099211,1.19348E+13,14567532,6002464,20569996
___GOKU___,1823905441,1.19162E+13,13751644,6623642,20375286
SaintLucifer,45236913,1.17368E+13,13834396,6416200,20250596
KING_MICKEY_NICK,1320353356,1.19098E+13,16002584,4180912,20183496
Secretly_Cobs,951167418,1.19988E+13,14839024,4994772,19833796
Lei,1655928522,1.18273E+13,16604800,2717156,19321956
Paging-Doctor-Meredith-Grey,112207743,1.17368E+13,14776652,3749868,18526520
_Latte,1790146968,1.17368E+13,7592006,10714154,18306160
L0sT-Gh0sT,1085529461,1.17368E+13,8473380,9647670,18121050
Nimrod,884128580,1.18777E+13,15317182,2516038,17833220
-F0X-,582120467,1.17432E+13,11967838,5585760,17553598
StormingBoots,817828983,1.18192E+13,14573446,2962822,17536268
GypsySoul_Ivy,1287125544,1.17368E+13,14723540,2409310,17132850
_Eris,1152610450,1.17534E+13,8841934,8180668,17022602
HeartlessJosh,1555295669,1.18175E+13,8262042,8262042,16524084
iRhymeWithWitch,179491707,1.17355E+13,13691976,2459490,16151466
-Benihime-,615549004,1.18561E+13,8586082,7506386,16092468
LocaIPoptart,816920575,1.18388E+13,5660216,8948852,14609068
logyrian,783525249,1.17888E+13,2341648,11151710,13493358
CrackheadbarneywithanAK-47,11569797,1.18561E+13,9819004,3286704,13105708
-Joesph_the_sailor-,1018604546,1.19377E+13,8033518,4635502,12669020
PhilnHigh,1118841444,1.17963E+13,2244082,9651096,11895178
FollowThis,1353994313,1.19982E+13,3352714,548816,3901530
b291,1287515704,1.18174E+13,15120,15120,30240
Plexy,1488398653,1.18681E+13,10842,9478,20320
khaladzki,1454706498,1.17241E+13,7560,7560,15120
ericapooh,1051839309,1.17526E+13,7092,6476,13568
gin9e,1186336984,1.17657E+13,1134,1004,2138
--Mario--,1387274602,1.18381E+13,692,772,1464
