Username,User ID,Price,Strength,Intel,Combined
____L____I____G____H____T____,1891466428,13991920748678,7431112,17548760,24979872
Its_Kishuu,683508003,13991920748678,12381794,19499680,31881474
Tarra,1119722954,13991920748678,9854418,9099362,18953780
Sweet_Glimpse,984809205,13991920748678,14234112,4020516,18254628
UnholyDestruction,1521656036,13991920748678,10177126,14953418,25130544
-_-Troy-Hero-_-2,1756587013,13991920748678,21022936,9120180,30143116
BloodFury,78852906,13991920748678,7613570,22628234,30241804
inubaka18,1689369809,13991920748678,12035958,12035958,24071916
skidoo700,314033971,13991920748678,26735704,4374934,31110638
HeavensPotion,717167145,13980324512400,10882982,8136436,19019418
X-_-ACE-CRAIGE-_-X,1723836011,13980324512400,16597268,8703848,25301116
---MI---,2059386667,13980324512400,978826,585096,1563922
Gabie,247231923,13980324512400,16562568,8546796,25109364
ImHer,616332648,13980324512400,16719130,11995002,28714132
BabyRen,1220389089,13980324512400,13341718,12476842,25818560
XElectraX,1488734523,13980324512400,14275940,13235224,27511164
AddyDaddy,1656503552,13980324512400,15425364,16559150,31984514
-iNemo-,79432777,13980324512400,9757918,9757918,19515836
HQ_-iSoul-_HQ,448585835,13980324512400,22063466,13774764,35838230
SparklingSparkles,985459458,13980324512400,10821488,10821488,21642976
yasmin2232,1958534096,13980324512400,16192502,7645120,23837622
-TricksterG0ddess-,1320987527,13980324512400,11360932,11447022,22807954
MarkLee,1622976694,13980324512400,9514516,9514516,19029032
Kites,1287433281,13980324512400,15824476,15824476,31648952
HarmonyBearz,1757199437,13980324512400,17483928,2861024,20344952
Carmie,784202776,13980324512400,19284288,5814370,25098658
KatieDarling,247318009,13980324512400,18891786,8140266,27032052
iSekiWillTakeYouToHeaven,649974889,13980324512400,22820400,12059990,34880390
orencatto,817736268,13980324512400,17612320,19028966,36641286
IlIlLbladeIlIL,1455273103,13980324512400,28525038,9749008,38274046
Xx-SaYoNi-xX,1019066890,13980324512400,10614664,17510368,28125032
SirCosmic,12420837,13980324512400,13661132,13661132,27322264
TheLonelySemon,616402355,13980324512400,15101728,14581370,29683098
MrsSmith,145908026,13980324512400,14869732,11833666,26703398
Bepsi,549296104,13980324512400,22980626,8150418,31131044
Fishymish95,113090026,13980324512400,15927488,15927488,31854976
Dabba,951214488,13980324512400,15319356,15319356,30638712
Anthony,1957852741,13980324512400,4989908,8291872,13281780
DamnRightItsJoker,2092071112,13980324512400,19630218,4222900,23853118
Dearest,515014203,13980324512400,16910458,16910458,33820916
xOxSqueezeToyxOx_POiS0N3D,850542822,13980324512400,15101728,14581370,29683098
Astroberry,1320309287,13980324512400,11725128,11725128,23450256
Rieper47,716329422,13980324512400,14723516,11429972,26153488
Wolfed,716318553,13980324512400,15970560,16453890,32424450
XxUltraRarexX,1253192299,13980324512400,12713204,12392416,25105620
VEN0M,1420965724,13980324512400,18692048,13957864,32649912
GlitterDayDream,2092041900,13980324512400,24446476,6271008,30717484
H1ghA11Th3T1m3420,783421447,13980324512400,22132522,11688320,33820842
CanIpetThatDog,1521620515,13980324512400,12321172,19569156,31890328
Dilluzional,917692581,13980324512400,20636946,3946100,24583046
Gretta,2058544364,13980324512400,30250836,6279760,36530596
-Bronze_ButterKream-,1085467711,13980324512400,26368138,12986930,39355068
Little-Devil,280143560,13980324512400,3596716,4494202,8090918
_-CHANEL-_,1051903887,13980324512400,26130190,4442072,30572262
-Zeph-,1689440102,13980324512400,23431394,14733386,38164780
_-ArtemisMoonlight-_,1622323986,13980324512400,24909688,8920218,33829906
Ys,984790367,13980324512400,11937472,10330168,22267640
_Uno,1152563474,13980324512400,20417680,13988934,34406614
JustInsomniac,1353876600,13980324512400,22843572,12583106,35426678
NoraWinchester,951225308,13980324512400,18901818,16962472,35864290
KennedyxGrey,1857195086,13980324512400,709410,709410,1418820
iMenmaAteCupid,380803689,13980324512400,17055534,15531488,32587022
-HeyPapii-,649294428,13980324512400,13986856,24127994,38114850
Lexieeeeee,1588818236,13980324512400,13247098,9613400,22860498
sweetangelval2,2025027084,13980324512400,27571170,6921584,34492754
Jean-PaulSartre,1857255795,13980324512400,22877544,3743610,26621154
_Moti_,1018394730,13980324512400,31360656,5929604,37290260
Akashicchi,481525584,13980324512400,13897354,13897354,27794708
Moxxi-Quinn-X3,951275178,13980324512400,21976540,15620160,37596700
KingBubble,682829025,13980324512400,12585804,12014484,24600288
AcidBurn23,213068603,13980324512400,12521170,22593112,35114282
llJAEll,1790123746,13980324512400,23998498,11455574,35454072
BadAssKass,179560786,13980324512400,15497216,12204558,27701774
iXara,246673110,13980324512400,21158090,10122844,31280934
_-JW-Angelstar-_,2092169050,13980324512400,22072838,5815006,27887844
Blunder,615752947,13980324512400,28181334,5822518,34003852
beautifulgirl26,1152638381,13980324512400,6735268,18957886,25693154
pia42,414430661,13980324512400,18990392,17986704,36977096
Deja_Vu,1521737722,13980324512400,7477494,17256698,24734192
Perfectly__ImPerfect,582201028,13980324512400,14955644,13951956,28907600
zeeze,313768847,13980324512400,15610776,17692204,33302980
batman69,1018412267,13980324512400,15909668,14789092,30698760
stonerjocknerd,850626032,13980324512400,26887988,15169748,42057736
Doughnut,1957924416,13980324512400,11031850,23539456,34571306
-_-Fallen_AngEL-_-,1286837897,13980324512400,24510082,11462138,35972220
iBlair,447768356,13980324512400,19387680,7470408,26858088
_Sinny-Meanie-Miny-Hoe_,783311753,13980324512400,15036516,14083790,29120306
