Username,User ID,Price,Strength,Intel,Combined
Hyun,1454403790,13980324512400,13867264,13776280,27643544
Jhoiiysa,246433194,13980324512400,21185238,7883144,29068382
-Madison_Finn-,1823495380,13980324512400,19629576,19543486,39173062
Fadi-zain,313546957,13980324512400,3083362,16992516,20075878
TheSavageSmoker,1722834934,13980324512400,22805288,6153832,28959120
Christian-,380634235,13980324512400,25623900,4193024,29816924
LadyLuxx,1320216962,13980324512400,18778362,12296974,31075336
Lee_The_Just,1018212740,13980324512400,17009502,17009502,34019004
Miss_Gorgeous_Kal,347140408,13980324512400,13750820,11332766,25083586
-EntreNous-,1722858896,13980324512400,19211952,11037498,30249450
Hoca,112233930,13980324512400,18467560,12126708,30594268
MeowMin,548442642,13980324512400,18033576,7308114,25341690
IWantToMaryJane,179343927,13980324512400,13889124,13889124,27778248
KF_Aerith,917540913,13980324512400,29433252,8406328,37839580
-Eminem,347179712,13980324512400,26817028,11607348,38424376
Morir,112292223,13980324512400,8747806,8313538,17061344
-Princess_BabyLynn-,749830056,13980324512400,23783198,7719802,31503000
WillTurner,212948003,13980324512400,12462128,9832400,22294528
