Username,User ID,Price,Strength,Intel,Combined
Troublee,817684457,14985552965808,21482414,3515320,24997734
reema18,1890992402,14984475799617,1584,2080,3664
MascMommy,515008477,14979412578154,17033066,17033066,34066132
-_NINETALES_ANGEL_-,1186028129,14979412577827,19682376,12244474,31926850
BringingYouToHell,112384580,14979412573234,20521722,10634920,31156642
K1N6_Sm0k3,381045085,14979412568523,25556002,5544288,31100290
poppamollie,918317287,14979412568015,15178012,10260092,25438104
Blackarrow37,11664817,14979412568015,18372616,10380470,28753086
SinisterWISH,381031130,14979412561727,19982054,13420554,33402608
aikido,1353788459,14979412535184,15355782,14080368,29436150
Casey1018,45372073,14979412496727,22042002,6221654,28263656
-_THOR_-,78894826,14979411340709,12917744,12917744,25835488
-Jamaica_me-crazy-Anna-,683121583,14979410894422,23627668,6850806,30478474
Saintan__,1622178272,14979410893227,22666564,7137290,29803854
kiyae3,179762865,14978356513026,196,126,322
FrogMama,45281511,14977260922069,10614570,10614570,21229140
sandyZ,984695827,14969901513961,14411356,13370640,27781996
GameOver,1086109724,14944119915356,22160008,11177146,33337154
Rinve,2091920316,14930659931227,18986738,13400576,32387314
Gaster7,917575219,14930659919854,56262,56262,112524
Hiswoman,1589421819,14930659912623,20532618,6587754,27120372
-FAM-______-Juiicy-______-FAM-,1756795648,14930658586667,10960102,22837670,33797772
PocusHocus,1891019569,14926221319242,25461040,4166372,29627412
-P_M-KingCantona,985013229,14918773100942,22571834,5296300,27868134
mefool,884418687,14909750025849,22130230,6375764,28505994
_-MiSs-AtTitUdE-AnGeL_-,45215191,14903824397904,24535646,6534026,31069672
Kizzy,1957896313,14903824397886,12627290,16198484,28825774
-I_MAUSAM_Insanely_AWESOME-,246440823,14903824397883,6611408,22359694,28971102
PzY_I-Shinchan-I,649299209,14903824397856,23896342,12366450,36262792
PandaTings,582151123,14903824397807,11460512,11460512,22921024
Abner,952098308,14903824397650,26327670,4308192,30635862
135791113151719,2092357158,14903824397516,23577178,11762594,35339772
CrazyMortician,917714397,14903824397280,13265740,13265740,26531480
jalal20,514872710,14903824397037,15369240,7779514,23148754
Her_Soulless_Kuntmuffin,1891101379,14903824396737,15882012,16439398,32321410
Vari,414671015,14903824396526,18742924,18594812,37337736
Lavender_Valkyrie,1387547966,14903824394354,8598600,19507340,28105940
RustyTurtle,1588810728,14903824389756,16090420,8688076,24778496
iMuckspout,1286674976,14903824389290,18388866,16945136,35334002
ob_LIV_ious,985504120,14903824386676,12529730,8081206,20610936
ShootingStarr28,1555230634,14903824381771,14544000,6204338,20748338
Jayann,179407204,14903824381726,25055926,5828574,30884500
-Talos-,11771933,14903824367530,21431858,6653178,28085036
Daddy_Sage,850427418,14903824355171,3428338,20950914,24379252
_hell,850427325,14903824316876,17274106,8103910,25378016
AbankHusien,112638621,14903824244131,12962890,12962890,25925780
SYN_MissThang4Life,1018665797,14903824106652,13621970,12618282,26240252
missdirect,1722827491,14903785899787,14328118,12447992,26776110
auel,615723607,14900226141282,13996584,12752446,26749030
SmurfberryCrunch,1051895105,14900118152176,13356978,12760178,26117156
Pyr0,11778960,14894361307029,7723566,19185430,26908996
Aruni,1857101820,14882065948839,20095740,9468846,29564586
Scaroulette,1555158988,14882065898346,22557768,10265704,32823472
Flip_Switch_Rotate,1622552328,14882065788909,5785806,24025932,29811738
PleaseChangeYourName123,347903457,14881773316554,9291532,6396378,15687910
-iZachlovePamela-,1086190637,14864577213171,14035176,14035176,28070352
Kukki,1521664973,14855317762228,24038656,5928050,29966706
IPeterPanFliesOff2NeverLand,347189324,14855317759537,23308468,8006482,31314950
Adom,2058840432,14855317756505,11164244,10980508,22144752
RhoseII,1488154062,14850828953544,18453210,12787234,31240444
crecre2,717094712,14849619455890,14496218,14482284,28978502
Piano,1756519957,14834516366664,10713418,7736384,18449802
Pervy9,1957857214,14833320883151,25828304,4226476,30054780
Rosie,582407073,14828617645986,23435414,11057908,34493322
Shan3yP00hB3arz,1253094982,14828617645978,18027048,12221296,30248344
ChubbyBunny,884851688,14828617645970,9862448,9690268,19552716
-_A_-CareBearCrystal,515137373,14828617645970,20693400,3386194,24079594
Narcissa,750163632,14828617645963,31872374,5381708,37254082
Distraught,1219545660,14828617645934,26845510,8426640,35272150
NicoleDeeDusch,1219666663,14828617645919,15384654,14771830,30156484
ErikaLiliana,1387756344,14828617645919,16463300,13292312,29755612
Krauser,1857186907,14828617645852,9410382,1871108,11281490
Aniket,1991395477,14828617645832,13113226,13113226,26226452
WCKDisGood,716307769,14828617645656,28052616,9434494,37487110
Mejo,280858217,14828617645623,12761702,12889106,25650808
e1o,1689475220,14828617645339,15970560,16453890,32424450
DeadlyMo24,1052192674,14828617645239,17473488,12847180,30320668
Seraphiel-,1756563859,14828617645227,18233306,9449728,27683034
Novellah,1387406984,14828617644499,13475256,15742828,29218084
DeathEaterSonnsi_,1487946527,14828617644499,28224718,9527874,37752592
Deceased,1186216213,14828617644473,12955848,14465236,27421084
BooM_20,1354140623,14828617644462,28995388,7920554,36915942
Hadlei,1286846490,14828617636574,11209636,11729994,22939630
PurposeHerWolf,1857257605,14828617634859,8467156,21215932,29683088
Maya,179547906,14828617633772,17634400,17634400,35268800
romeo666,481413778,14828617629130,18090090,12177642,30267732
-Josh--,1656131662,14828617615755,19434210,10663758,30097968
Shae,1890611855,14828617612889,27740890,11459680,39200570
Sexier,1655729141,14828617585931,21293812,12626382,33920194
Boris28,313704506,14828617472703,23432666,11196786,34629452
Her_Majasty,514881207,14828609078460,19080040,14735150,33815190
-_LILITH_-,381474337,14828602097251,17137240,12219320,29356560
WinterSoldier,380884895,14824821523884,20548714,12445154,32993868
Yacii-Loves-Me-A-Lot,180328798,14820306891144,18228148,16412276,34640424
motomami,1253878871,14818589671588,17344968,17344968,34689936
_Ghosted-By_Seamen-Meat_,1891412642,14811474122177,9716024,8997996,18714020
golddayz,682816206,14806660298206,22348860,7676126,30024986
FoxyAss,951952733,14803391990224,19559078,3200594,22759672
Aurora_96,482204323,14802793608993,10552014,10368278,20920292
-Castiel-,1052214805,14792615622474,16859082,2758768,19617850
Paradox__V2,246819893,14792615589397,16739892,14849432,31589324
Mirmo,616336527,14789606368495,21330084,5458294,26788378
HotD0g,582092002,14789606368495,14714890,9140062,23854952
NILLOSTBOY,1689288359,14785016605511,21417778,11679070,33096848
Her_Baby_Boy,984900962,14780355786059,33915192,6155280,40070472
